Subject,km,DF,SF_norm
P12,4.0,0.694574,0.891825
P12,5.0,0.692213,0.88691
P12,6.0,0.688981,0.878888
P12,7.0,0.69508,0.874976
P12,8.0,0.698948,0.866689
P12,9.0,0.698146,0.862012
P12,10.0,0.68903,0.862551
P13,1.0,0.616999,0.862933
P13,2.0,0.621135,0.864658
P13,3.0,0.62205,0.86257
P13,4.0,0.623844,0.864055
P13,5.0,0.623502,0.862787
P13,6.0,0.622799,0.85964
P13,7.0,0.621452,0.859848
P13,8.0,0.626519,0.858587
P13,9.0,0.627539,0.862189
P13,10.0,0.627446,0.864505
P14,1.0,0.624462,0.83512
P14,2.0,0.641169,0.845395
P14,3.0,0.639042,0.840021
P14,4.0,0.64752,0.843913
P14,5.0,0.643697,0.839641
P14,6.0,0.643686,0.838741
P14,7.0,0.637368,0.835973
P14,8.0,0.632799,0.831804
P14,9.0,0.627962,0.833213
P15,1.0,0.743288,0.87704
P15,2.0,0.746414,0.862399
P15,3.0,0.751765,0.86085
P15,4.0,0.749063,0.852885
P15,5.0,0.752373,0.857914
P15,6.0,0.752351,0.862776
P15,7.0,0.765303,0.87767
P15,8.0,0.769363,0.873054
P15,9.0,0.755375,0.860598
P15,10.0,0.74565,0.849086
P17,1.0,0.795157,0.881289
P17,2.0,0.798665,0.897563
P17,3.0,0.791253,0.917027
P17,4.0,0.787005,0.905953
P17,5.0,0.785178,0.899561
P17,6.0,0.792003,0.903021
P17,7.0,0.784615,0.88044
P17,8.0,0.794589,0.906725
P17,9.0,0.779823,0.873566
P17,10.0,0.780236,0.883511
P18,1.0,0.725868,0.856934
P18,2.0,0.731715,0.86063
P18,3.0,0.727827,0.861601
P18,4.0,0.740884,0.870464
P18,5.0,0.733769,0.868532
P18,6.0,0.742654,0.873318
P18,7.0,0.749863,0.875597
P18,8.0,0.751629,0.876045
P18,9.0,0.751977,0.878979
P18,10.0,0.750163,0.875405
P20,1.0,0.595267,0.915611
P20,2.0,0.598832,0.916613
P20,3.0,0.595175,0.912875
P20,4.0,0.602573,0.915796
P20,5.0,0.614667,0.922178
P20,6.0,0.617588,0.927061
P20,7.0,0.619019,0.923926
P20,8.0,0.625793,0.931783
P20,9.0,0.626172,0.929812
P20,10.0,0.634015,0.948934
P21,1.0,0.756142,0.866721
P21,2.0,0.762023,0.862391
P21,3.0,0.758134,0.856799
P21,4.0,0.762702,0.85949
P21,5.0,0.765311,0.860483
P21,6.0,0.762567,0.86602
P21,7.0,0.76599,0.870643
P21,8.0,0.766914,0.872053
P21,9.0,0.760051,0.870957
P21,10.0,0.762363,0.88086
P22,1.0,0.660483,0.828573
P22,2.0,0.654651,0.817711
P22,3.0,0.660113,0.819488
P22,4.0,0.643298,0.810475
P22,5.0,0.64497,0.810624
P22,6.0,0.655367,0.814928
P22,7.0,0.65423,0.808277
P22,8.0,0.65852,0.802475
P23,1.0,0.849888,0.802787
P23,2.0,0.845484,0.796217
P23,3.0,0.84398,0.801715
P23,4.0,0.843224,0.808844
P23,5.0,0.841588,0.795818
P23,6.0,0.840949,0.800205
P23,7.0,0.846767,0.801634
P23,8.0,0.847702,0.801826
P23,9.0,0.843945,0.798487
P23,10.0,0.841259,0.792727
P24,1.0,0.685541,0.84878
P24,2.0,0.694911,0.8478
P24,3.0,0.692041,0.846401
P24,4.0,0.694751,0.841776
P24,5.0,0.691571,0.840731
P24,6.0,0.689967,0.841998
P24,7.0,0.696607,0.845624
P24,8.0,0.692397,0.843534
P24,9.0,0.694787,0.842656
P24,10.0,0.694566,0.842835
P27,1.0,0.687662,0.914729
P27,2.0,0.692303,0.916921
P27,3.0,0.698171,0.917324
P27,4.0,0.697501,0.915148
P27,5.0,0.699603,0.915538
P27,6.0,0.696846,0.905923
P27,7.0,0.701182,0.910712
P27,8.0,0.699671,0.91092
P27,9.0,0.690078,0.905525
P27,10.0,0.690311,0.90451
P28,1.0,0.801317,0.874502
P28,2.0,0.802037,0.869166
P28,3.0,0.803294,0.861379
P28,4.0,0.812177,0.859323
P28,5.0,0.810511,0.841874
P28,6.0,0.821497,0.844054
P28,7.0,0.805387,0.831454
P28,8.0,0.812714,0.83045
P28,9.0,0.81104,0.827157
P28,10.0,0.813607,0.831949
P29,1.0,0.683335,0.898685
P29,2.0,0.68339,0.881169
P29,3.0,0.697172,0.894155
P29,4.0,0.68886,0.896108
P29,5.0,0.691627,0.888513
P29,6.0,0.692812,0.883417
P29,7.0,0.682378,0.86256
P29,8.0,0.699336,0.887772
P29,9.0,0.681229,0.876765
P29,10.0,0.687355,0.868847
P30,1.0,0.832981,0.861139
P30,2.0,0.826941,0.854698
P30,3.0,0.83118,0.854015
P30,4.0,0.830708,0.854143
P30,5.0,0.834442,0.852223
P30,6.0,0.832298,0.848237
P30,7.0,0.832058,0.848111
P30,8.0,0.83187,0.84442
P30,9.0,0.826671,0.848195
P30,10.0,0.823864,0.845798
P32,1.0,0.693158,0.837014
P32,2.0,0.700599,0.833696
P32,3.0,0.704729,0.829256
P32,4.0,0.692403,0.827816
P32,5.0,0.689565,0.823419
P32,6.0,0.701215,0.828998
P32,7.0,0.692055,0.824386
P32,8.0,0.691802,0.826552
P32,9.0,0.692606,0.831591
P32,10.0,0.691681,0.832298
P33,1.0,0.689258,0.879073
P33,2.0,0.69816,0.872989
P33,3.0,0.692943,0.869107
P33,4.0,0.693103,0.868688
P33,5.0,0.694139,0.868622
P33,6.0,0.687941,0.858416
P33,7.0,0.693825,0.853705
P33,8.0,0.693763,0.860499
P33,9.0,0.691397,0.850221
P33,10.0,0.691642,0.848603
P34,1.0,0.70038,0.930832
P34,2.0,0.703129,0.930169
P34,3.0,0.707191,0.92688
P34,4.0,0.708489,0.922895
P34,5.0,0.706723,0.921915
P34,6.0,0.709733,0.924931
P34,7.0,0.707931,0.924765
P34,8.0,0.708331,0.926356
P34,9.0,0.701879,0.940409
P34,10.0,0.713371,0.942484
P35,1.0,0.596092,0.902135
P35,2.0,0.600298,0.903699
P35,3.0,0.601354,0.909273
P35,4.0,0.602856,0.908299
P35,5.0,0.602406,0.90863
P35,6.0,0.607813,0.916232
P35,7.0,0.604706,0.919209
P35,8.0,0.606137,0.915367
P35,9.0,0.598532,0.91475
P35,10.0,0.602003,0.915086
P36,1.0,0.686155,0.876562
P36,2.0,0.700725,0.870825
P36,3.0,0.705609,0.865546
P36,4.0,0.701696,0.863975
P36,5.0,0.700087,0.861631
P36,6.0,0.70744,0.861712
P36,7.0,0.709202,0.859668
P36,8.0,0.711262,0.85856
P36,9.0,0.701023,0.852004
P36,10.0,0.698039,0.853304
P37,1.0,0.672821,0.745874
P37,2.0,0.669146,0.746197
P37,3.0,0.675874,0.7472
P37,4.0,0.674876,0.745897
P37,5.0,0.675138,0.743912
P37,6.0,0.674763,0.745289
P37,7.0,0.685676,0.747464
P37,8.0,0.681079,0.747843
P37,9.0,0.687619,0.753187
P38,1.0,0.757384,0.807755
P38,2.0,0.756326,0.802685
P38,3.0,0.743316,0.795817
P38,4.0,0.754778,0.798056
P38,5.0,0.752007,0.790423
P38,6.0,0.753061,0.793379
P38,7.0,0.753527,0.794709
P38,8.0,0.755035,0.798579
P38,9.0,0.748858,0.79442
P38,10.0,0.747078,0.799687
P39,1.0,0.780427,0.835573
P39,2.0,0.776251,0.837088
P39,3.0,0.773218,0.833398
P39,4.0,0.771992,0.830601
P39,5.0,0.776537,0.83148
P39,6.0,0.77154,0.831607
P39,7.0,0.771167,0.830266
P39,8.0,0.768315,0.825256
P39,9.0,0.758537,0.822814
P39,10.0,0.753294,0.82092
P40,1.0,0.613585,0.86973
P40,2.0,0.617905,0.871279
P40,3.0,0.61532,0.870898
P40,4.0,0.621004,0.871683
P40,5.0,0.619243,0.870607
P40,6.0,0.617528,0.87091
P40,7.0,0.621967,0.874562
P40,8.0,0.616874,0.87556
P40,9.0,0.619872,0.878037
P40,10.0,0.620318,0.878402
P41,1.0,0.759086,0.882223
P41,2.0,0.76893,0.880687
P41,3.0,0.770094,0.874435
P41,4.0,0.763852,0.873729
P41,5.0,0.764633,0.873093
P41,6.0,0.763817,0.866384
P41,7.0,0.766291,0.866102
P41,8.0,0.768951,0.871434
P41,9.0,0.76116,0.867305
P41,10.0,0.751798,0.855049
P42,1.0,0.645849,0.841975
P42,2.0,0.648674,0.840146
P42,3.0,0.646394,0.833113
P42,4.0,0.64826,0.828464
P42,5.0,0.647307,0.829597
P42,6.0,0.645991,0.82659
P42,7.0,0.644609,0.822284
P42,8.0,0.648105,0.825088
P42,9.0,0.651282,0.829692
P42,10.0,0.647981,0.820995
P44,1.0,0.728254,0.856208
P44,2.0,0.719348,0.837365
P44,3.0,0.72359,0.830876
P44,4.0,0.719778,0.816202
P44,5.0,0.723697,0.815556
P44,6.0,0.720773,0.811139
P44,7.0,0.715703,0.808404
P44,8.0,0.707584,0.806564
P44,9.0,0.712378,0.811206
P44,10.0,0.710076,0.806519
P45,1.0,0.610757,0.890949
P45,2.0,0.611531,0.876156
P45,3.0,0.613613,0.87871
P45,4.0,0.614349,0.875054
P45,5.0,0.620629,0.875906
P45,6.0,0.623951,0.876887
P45,7.0,0.618967,0.88244
P45,8.0,0.61956,0.877779
P45,9.0,0.609011,0.868908
P45,10.0,0.620271,0.873459
P46,1.0,0.615056,0.835234
P46,2.0,0.619015,0.825797
P46,3.0,0.614707,0.81414
P46,4.0,0.61408,0.819183
P46,5.0,0.623562,0.832129
P46,6.0,0.630879,0.833054
P46,7.0,0.626529,0.832155
P46,8.0,0.628955,0.831516
P46,9.0,0.637708,0.841078
P46,10.0,0.63094,0.833645
P47,1.0,0.580669,0.857858
P47,2.0,0.573799,0.851759
P47,3.0,0.574577,0.850736
P47,4.0,0.569673,0.846758
P47,5.0,0.56835,0.847481
P47,6.0,0.564279,0.845875
P47,7.0,0.568129,0.84388
P47,8.0,0.56543,0.843601
P47,9.0,0.566616,0.842832
P47,10.0,0.568594,0.842999
P48,1.0,0.730634,0.869072
P48,2.0,0.732121,0.858443
P48,3.0,0.749493,0.8624
P48,4.0,0.749724,0.861488
P48,5.0,0.753571,0.860524
P48,6.0,0.753053,0.852018
P48,7.0,0.740524,0.848292
P48,8.0,0.750055,0.849746
P48,9.0,0.744387,0.84885
P48,10.0,0.727213,0.844397
P49,1.0,0.615971,0.909167
P49,2.0,0.616534,0.909847
P49,3.0,0.616596,0.911055
P49,4.0,0.623887,0.911604
P49,5.0,0.613017,0.902877
P49,6.0,0.615204,0.914166
P49,7.0,0.614293,0.912793
P49,8.0,0.615997,0.917364
P49,9.0,0.612373,0.91723
P49,10.0,0.613286,0.916184
P50,1.0,0.601608,0.827236
P50,2.0,0.605783,0.820509
P50,3.0,0.608305,0.817681
P50,4.0,0.614272,0.820189
P50,5.0,0.611459,0.818524
P50,6.0,0.616076,0.825129
P50,7.0,0.610673,0.820699
P50,8.0,0.623274,0.828143
P50,9.0,0.618586,0.822974
P50,10.0,0.61852,0.825114
P51,1.0,0.632986,0.79695
P51,2.0,0.616359,0.772014
P51,3.0,0.609459,0.761751
P51,4.0,0.597403,0.766261
P51,5.0,0.603357,0.769304
P51,6.0,0.602287,0.758809
P51,7.0,0.617375,0.759674
P51,8.0,0.603588,0.754541
P51,9.0,0.623653,0.766761
P51,10.0,0.593818,0.766517
P53,1.0,0.764087,0.866253
P53,2.0,0.76442,0.864912
P53,3.0,0.768871,0.855512
P53,4.0,0.771592,0.863932
P53,5.0,0.771605,0.87265
P53,6.0,0.767006,0.860434
P53,7.0,0.770146,0.864319
P53,8.0,0.765681,0.868182
P53,9.0,0.772913,0.870194
P53,10.0,0.777744,0.862479
P56,1.0,0.72667,0.852907
P56,2.0,0.724452,0.846392
P56,3.0,0.727877,0.836005
P56,4.0,0.733415,0.835057
P56,5.0,0.719799,0.826961
P56,6.0,0.734182,0.826398
P56,7.0,0.739413,0.834555
P56,8.0,0.739317,0.828527
P56,9.0,0.734385,0.831839
P56,10.0,0.686399,0.812177
P57,1.0,0.653304,0.798436
P57,2.0,0.657983,0.794883
P57,3.0,0.655366,0.786883
P57,4.0,0.660147,0.78894
P57,5.0,0.654157,0.783823
P57,6.0,0.655544,0.779828
P57,7.0,0.657186,0.78455
P57,8.0,0.657749,0.780614
P57,9.0,0.659431,0.782906
P57,10.0,0.658328,0.781736
P59,1.0,0.776583,0.971833
P59,2.0,0.776292,0.993352
P59,3.0,0.778636,1.000782
P59,4.0,0.771047,0.997329
P59,5.0,0.768483,0.992986
P59,6.0,0.771237,0.984424
P59,7.0,0.763089,0.985501
P59,8.0,0.756977,0.97453
P59,9.0,0.759488,0.966381
P59,10.0,0.746868,0.964811
P60,1.0,0.748558,0.85152
P60,2.0,0.746898,0.837404
P60,3.0,0.75139,0.831308
P60,4.0,0.749796,0.825318
P60,5.0,0.751815,0.822701
P60,6.0,0.761987,0.821833
P60,7.0,0.769537,0.826391
P60,8.0,0.764703,0.821798
P60,9.0,0.762851,0.8215
P60,10.0,0.746775,0.808598
P61,1.0,0.618369,0.937094
P61,2.0,0.61685,0.928314
P61,3.0,0.617664,0.923829
P61,4.0,0.618605,0.921155
P61,5.0,0.620078,0.915718
P61,6.0,0.618053,0.913338
P61,7.0,0.619075,0.914796
P61,8.0,0.618992,0.917573
P61,9.0,0.638326,0.922942
P62,1.0,0.581348,0.896393
P62,2.0,0.589631,0.892692
P62,3.0,0.588576,0.891938
P62,4.0,0.591461,0.89011
P62,5.0,0.582744,0.879121
P62,6.0,0.585704,0.882992
P62,7.0,0.588575,0.878766
P62,8.0,0.584333,0.874096
P62,9.0,0.585422,0.874907
P62,10.0,0.581727,0.87243
P63,1.0,0.491211,0.857732
P63,2.0,0.489581,0.855437
P63,3.0,0.492835,0.85537
P63,4.0,0.499603,0.855241
P63,5.0,0.500409,0.857548
P63,6.0,0.511791,0.860141
P63,7.0,0.504458,0.85871
P63,8.0,0.509862,0.854299
P63,9.0,0.515563,0.854979
P63,10.0,0.493127,0.840841
P64,1.0,0.572339,0.908509
P64,2.0,0.582039,0.910891
P64,3.0,0.581989,0.908279
P64,4.0,0.582409,0.909757
P64,5.0,0.585004,0.908404
P64,6.0,0.590075,0.907537
P64,7.0,0.593667,0.905853
P64,8.0,0.59539,0.906539
P66,1.0,0.560079,0.901684
P66,2.0,0.563236,0.895344
P66,3.0,0.560754,0.89225
P66,4.0,0.55683,0.892072
P66,5.0,0.555591,0.892932
P66,6.0,0.556278,0.891382
P66,7.0,0.555592,0.890394
P66,8.0,0.559277,0.89384
P66,9.0,0.556046,0.891959
P66,10.0,0.554602,0.892306
P68,1.0,0.746818,0.790791
P68,2.0,0.757436,0.794545
P68,3.0,0.759054,0.800451
P68,4.0,0.772153,0.805698
P68,5.0,0.786685,0.798861
P68,6.0,0.77301,0.815487
P68,7.0,0.766616,0.806992
P68,8.0,0.765081,0.800859
P68,9.0,0.78329,0.814996
P68,10.0,0.769212,0.791054
P69,1.0,0.689209,0.87716
P69,2.0,0.681761,0.865972
P69,3.0,0.685324,0.869165
P69,4.0,0.685178,0.865142
P69,5.0,0.685155,0.86574
P69,6.0,0.679515,0.856489
P69,7.0,0.675203,0.854658
P69,8.0,0.677428,0.850798
P69,9.0,0.67733,0.851867
P69,10.0,0.689396,0.850093
P70,1.0,0.689109,0.901772
P70,2.0,0.683668,0.892407
P70,3.0,0.683738,0.892759
P70,4.0,0.675763,0.880289
P70,5.0,0.687851,0.893664
P70,6.0,0.68783,0.887178
P70,7.0,0.649441,0.860268
P70,8.0,0.645786,0.857164
P70,9.0,0.650358,0.8574
P70,10.0,0.65191,0.862561
P71,1.0,0.569521,0.876909
P71,2.0,0.566248,0.872809
P71,3.0,0.567637,0.873835
P71,4.0,0.567462,0.872414
P71,5.0,0.56357,0.874774
P71,6.0,0.563961,0.874588
P71,7.0,0.560154,0.876402
P71,8.0,0.565221,0.874256
P71,9.0,0.567127,0.878196
P71,10.0,0.560436,0.871591
P72,1.0,0.631361,0.863933
P72,2.0,0.625921,0.849254
P72,3.0,0.62774,0.854394
P72,4.0,0.631771,0.855764
P72,5.0,0.634035,0.852668
P72,6.0,0.631656,0.850396
P72,7.0,0.632472,0.846445
P72,8.0,0.640151,0.856302
P72,9.0,0.6362,0.85046
P72,10.0,0.625686,0.838353
P76,1.0,0.676476,0.85308
P76,2.0,0.675595,0.848055
P76,3.0,0.669262,0.839966
P76,4.0,0.663457,0.832771
P76,5.0,0.673183,0.838155
P76,6.0,0.681326,0.839582
P76,7.0,0.676268,0.839426
P76,8.0,0.675072,0.83969
P78,1.0,0.603359,0.872744
P78,2.0,0.605062,0.866408
P78,3.0,0.605789,0.866857
P78,4.0,0.609514,0.867437
P78,5.0,0.607139,0.867866
P78,6.0,0.609801,0.862792
P78,7.0,0.606342,0.861741
P78,8.0,0.606732,0.861351
P78,9.0,0.605406,0.861204
P80,1.0,0.821726,0.890194
P80,2.0,0.831691,0.892165
P80,3.0,0.832268,0.888635
P80,4.0,0.841462,0.888557
P80,5.0,0.839298,0.883325
P80,6.0,0.847083,0.888606
P80,7.0,0.851055,0.890437
P80,8.0,0.843654,0.890789
P80,9.0,0.844756,0.880676
P81,1.0,0.682835,0.875259
P81,2.0,0.682781,0.869576
P81,3.0,0.680811,0.861261
P81,4.0,0.676117,0.858945
P81,5.0,0.672275,0.857505
P81,6.0,0.670865,0.856103
P81,7.0,0.672745,0.854943
P81,8.0,0.664152,0.848503
P81,9.0,0.668789,0.850327
P81,10.0,0.663997,0.847908
